spotify_id,name
4eq1q0o9XPyNq9RG3fNDD1,Yorghaki
61JrslREXq98hurYL2hYoc,Lata Mangeshkar
6Xb4ezwoAQC4516kI89nWz,Imogen Heap
3TOqt5oJwL9BE2NG9MEwDa,Disturbed
7gW0r5CkdEUMm42w9XpyZO,Laufey
6Q192DXotxtaysaqNPy5yR,Amy Winehouse
0XwVARXT135rw8lyw1EeWP,Christian Nodal
6IRouO5mvvfcyxtPDKMYFN,Foreigner
3MZsBdqDrRTJihTHQrO6Dq,Joji
3l0CmX0FuQjFxr8SK7Vqag,Clairo
4phGZZrJZRo4ElhRtViYdl,Jason Mraz
12Chz98pHFMPJEknJQMWvI,Muse
57nPqD7z62gDdq37US9XJR,Arcane
3GBSge8pq7mpezUQl0GAOA,Kausar Munir
0xliTEbFfy5HQHvsTknTkX,Alphaville
3yY2gUcIsjMr8hjo51PoJ8,The Smiths
3hcs9uc56yIGFCSy9leWe7,Lil Durk
3ZxZ03fj3tXBZHZWzvaLSM,Neeti Mohan
5he5w2lnU9x7JFhnwcekXX,Skrillex
3EiLUeyEcA6fbRPSHkG5kb,De La Ghetto
7gP3bB2nilZXLfPHJhMdvc,Foster The People
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion
19ra5tSw0tWufvUp8GotLo,George Michael
6Dd3NScHWwnW6obMFbl1BH,Daya
1pQWsZQehhS4wavwh7Fnxd,Lenny Tavárez
0vR2qb8m9WHeZ5ByCbimq2,Reik
1VJ0briNOlXRtJUAzoUJdt,FISHER
2mpeljBig2IXLXRAFO9AAs,Dido
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer
0GOx72r5AAEKRGQFn3xqXK,GIMS
3DeOmVSmpv7WknXoo1OS8p,Alleh
3dN9MQpjIyNxyeRfz4EDZe,Rochak Kohli
0SwO7SWeDHJijQ3XNS7xEE,MGMT
6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen
7me0S5Z40qVWj3gzyK8aC3,Mc Livinho
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra
3y24n3XhZ96wgwRXjvS17T,Coolio
6FBDaR13swtiWwGhX1WQsP,blink-182
1IFAU4mznUcfPVP9z2c24N,Daecolm
5YFS41yoX0YuFY39fq21oN,Bob Sinclar
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole
757aE44tKEUQEqRuT6GnEB,Roddy Ricch
4vhNDa5ycK0ST968ek7kRr,Carlos Vives
26WKgv73kRHD0gEDKD1i8j,Keinemusik
5ndkK3dpZLKtBklKjxNQwT,B.o.B
7bu3H8JO7d0UbMoVzbo70s,The Cure
5bQ3wFgekuIMIcWJuxkqLK,Chrystal
2r7VkUHfCtvbQ7UMF3WUe4,YoungBoy Never Broke Again
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again
3MHaV05u0io8fQbZ2XPtlC,Prince Royce
